listing_id,price,bathrooms,bedrooms,cancellation_policy,guests_included,property_type,zipcode,star_rating,reviews_count,city,room_type
22889839,153,1,2,strict,3,Apartment,02116,5,7,Boston,Entire home
22889920,40,1,1,strict_14_with_grace_period,1,Guesthouse,90006,3,9,Los Angeles,Private room
22890619,59,1,1,flexible,1,House,90034,5,9,Los Angeles,Private room
22890639,1000,1,1,super_strict_30,1,Serviced apartment,78702,5,5,Austin,Entire home
22890928,1000,1,1,super_strict_30,1,Apartment,78702,5,8,Austin,Entire home
22891030,1000,2,2,super_strict_30,1,Apartment,78702,5,4,Austin,Entire home
22891193,888,2,2,strict_14_with_grace_period,6,Serviced apartment,78705,5,10,Austin,Entire home
22897065,249,1,2,strict,3,Apartment,02116,5,15,Boston,Entire home
22899427,50,2,1,moderate,1,Hostel,02134,5,9,Boston,Private room
22900871,800,4,3,strict,6,Townhouse,78704,5,4,Austin,Entire home
22901237,67,1,1,strict_14_with_grace_period,1,House,78702,5,5,Austin,Private room
22901688,70,1,1,strict,1,Apartment,33141,3,10,Miami,Shared room
22902019,202,1,1,moderate,1,Apartment,33131,5,4,Miami,Entire home
22902704,40,1,1,flexible,2,Apartment,90012,5,7,Los Angeles,Shared room
22902780,995,3,5,strict_14_with_grace_period,1,House,78702,5,4,Austin,Entire home
22902872,225,2,5,strict_14_with_grace_period,1,House,90006,4.5,12,Los Angeles,Entire home
